hospital_name,hospital_id,hospital_url,lon,lat
Hahnemann University Hospital,hahnemann-university-hospital,https://www.hahnemannhospital.com/SitePages/For-Patients-and-Visitors/Insurance%20and%20Financial%20Support.aspx,-75.163426,39.95715209999999
Henry Ford Hospital,henry-ford-hospital,https://www.henryford.com/visitors/billing/cost-of-care/hospital-standard-charges,-83.0853454,42.3675073
Hospital of the University of Pennsylvania,hospital-of-the-university-of-pennsylvania,https://www.pennmedicine.org/for-patients-and-visitors/patient-information/insurance-and-billing/financial-transparency/financial-transparency-for-the-hospital-of-the-university-of-pennsylvania,-75.1937544,39.9500226
Huntsville Hospital,huntsville-hospital,https://www.huntsvillehospital.org/price-transparency,-86.58060359999999,34.7210887
Indiana University Health,indiana-university-health,https://cdn.iuhealth.org/resources/2019-Charge-CMS-Transparency.txt?mtime=20181221134951,-86.1766633,39.7753912
Jackson Memorial,jackson-memorial,http://jacksonhealth.org/hb-221-hb-1175.asp#4,-80.2127544,25.7917353
JFK Medical Center,jfk-medical-center,https://jfkmc.com/about/legal/detail-price-list.dot,-80.09096439999999,26.5983629
Kennestone Hospital,kennestone-hospital,https://www.wellstar.org/about-us/policies-procedures/pages/wellstar-hospital-pricing-transparency.aspx,-84.5516184,33.9698219
Las Palmas Medical Center,las-palmas-medical-center,https://laspalmasdelsolhealthcare.com/about/legal/detail-price-list.dot,-106.4990661,31.769939
Loma Linda University Medical Center,loma-linda-university-medical-center,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/,-117.2641077,34.0494779
Long Island Jewish Medical Center,long-island-jewish-medical-center,https://www.northwell.edu/billing-and-insurance/price-transparency,-73.7069873,40.7554834
Lucile Packard Childrens Hospital,lucile-packard-childrens-hospital,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/,-122.1737563,37.4367612
Massachusetts General Hospital,massachusetts-general-hospital,https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx,-71.06862269999999,42.3634819
Medical City Dallas Hospital,medical-city-dallas-hospital,https://medicalcityhospital.com/patient-financial/?page_name=pricing,-96.77360240000002,32.9117658
Medical University of South Carolina,medical-university-of-south-carolina,http://scpricepoint.org/ReportINP.aspx,-80.96293,33.978504
Memorial Hermann Hospital System,memorial-hermann-hospital-system,https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/,-94.1210345,30.0695339
Memorial Hermann Texas Medical Center,memorial-hermann-texas-medical-center,https://www.memorialhermann.org/patients-caregivers/pricing-estimates-and-information/,-95.3951377,29.713986
Memorial Hospital for Cancer and Allied Diseases,memorial-hospital-for-cancer-and-allied-diseases,https://www.mskcc.org/public-notices/chargemaster/download,-73.95602699999999,40.76408319999999
Memorial Regional Hospital,memorial-regional-hospital,https://www.mhs.net/patients-visitors/billing/charges,-80.18035929999999,26.0199994
Methodist Healthcare Hospital (Memphis),methodist-healthcare-hospital-(memphis),https://www.methodisthealth.org/patients-guests/billing-department.dot,-90.0183713,35.1351515
Methodist Hospital (San Antonio),methodist-hospital-(san-antonio),https://sahealth.com/about/legal/detail-price-list.dot,-98.572222,29.5078753
Milton S. Hershey Medical Center,milton-s.-hershey-medical-center,https://hmc.pennstatehealth.org/patients-families-and-visitors/billing-and-medical-records/request-a-price-estimate,-76.67463169999999,40.2644142
Montefiore Medical Center,montefiore-medical-center,https://www.montefiore.org/information-about-charges,-73.8797151,40.8806538
Morristown Memorial Hospital,morristown-memorial-hospital,https://www.atlantichealth.org/patients-visitors/insurance/out-network-insurance.html,-74.4656591,40.7894667
Mount Sinai Health System – Beth Israel,mount-sinai-health-system-–-beth-israel,https://www.mountsinai.org/about/insurance/cm-faq-msl,-73.98192590000001,40.7330663
Mount Sinai Hospital,mount-sinai-hospital,https://www.mountsinai.org/about/insurance/cm-faq-msh,-73.9528799,40.7898107
New York Presbyterian Hospital,new-york-presbyterian-hospital,https://www.nyp.org/patients-and-visitors/paying-for-care,-74.00507999999999,40.71033430000001
New York University Hospitals Center,new-york-university-hospitals-center,https://med.nyu.edu/standard-charges/form/price-transparency-info-download/confirmation?token=B9bGu4DLNzR-ly23TGOd4NYWvFewtJ6m1K_jDE7nsD8,-73.9737746,40.742436
North Carolina Baptist Hospital,north-carolina-baptist-hospital,https://www.wakehealth.edu/Patient-and-Family-Resources/Billing-and-Insurance/Your-Health-Care-Costs,-80.2685786,36.0895869
North Shore University Hospital,north-shore-university-hospital,https://www.northwell.edu/billing-and-insurance/price-transparency,-73.7012865,40.7761856
Northshore University Health System,northshore-university-health-system,https://www.northshore.org/about-us/billing/standard-hospital-charges/,-87.858175,42.1926
Northside Hospital,northside-hospital,https://www.northside.com/billing-collections,-84.3530665,33.9087083
Northwestern Memorial Hospital,northwestern-memorial-hospital,https://www.nm.org/locations/northwestern-memorial-hospital,-87.62131,41.8946315
Norton Hospitals Inc.,norton-hospitals-inc.,http://search.hospitalpriceindex.com/hospital/Norton-Healthcare/5192,-85.7511483,38.2477692
Ochsner Clinic Foundation,ochsner-clinic-foundation,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates,-90.1419662,30.4494584
Ohio State University Hospital,ohio-state-university-hospital,https://wexnermedical.osu.edu/patient-and-visitor-guide/patient-pricing-lists,-83.0177565,39.9953248
Orlando Health,orlando-health,https://www.orlandohealth.com/patients-and-visitors/patient-financial-resources/pricing-transparency-guide,-81.377214,28.5259338
Presbyterian Intercommunity Hospital,presbyterian-intercommunity-hospital,https://www.pihhealth.org/patients-visitors/billing-financial-assistance/cms-hospital-pricing/,-118.0494302,33.96943290000001
Rainbow Babies and Childrens Hospital,rainbow-babies-and-childrens-hospital,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,-81.60595289999999,41.5041498
Riverside Methodist Hospital,riverside-methodist-hospital,https://www.ohiohealth.com/patients-and-visitors/paying-for-your-care/cost-of-services/,-83.0345056,40.0308026
Robert Wood Johnson University Hospital,robert-wood-johnson-university-hospital,https://www.rwjbh.org/rwj-university-hospital-new-brunswick/billing/charges/,-74.4496087,40.49526729999999
Ronald Reagan UCLA Medical Center,ronald-reagan-ucla-medical-center,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/,-118.4463178,34.0662795
Rush University Medical Center,rush-university-medical-center,https://www.rush.edu/patients-visitors/patients/pay-your-bill/cost-care,-87.6687123,41.87464
Scott and White Memorial Hospital,scott-and-white-memorial-hospital,https://www.bswhealth.com/patient-tools/patient-registration-and-billing/estimate-your-cost-care/Pages/default.aspx,-97.36272520000001,31.0782546
Sharp Memorial Hospital,sharp-memorial-hospital,https://www.sharp.com/chargemaster/memorial/,-117.1546001,32.7996759
Spectrum Health Hospitals,spectrum-health-hospitals,https://www.spectrumhealth.org/about-us/average-prices-for-grand-rapids-area,-85.6649001,42.9690207
St. Francis Medical Center,st.-francis-medical-center,https://www.sfmc.net/billing/price-transparency/,-89.57147379999999,37.3031365
St. Joseph’s Hospital (Tampa),st.-joseph’s-hospital-(tampa),https://baycare.org/billing-and-insurance?h=%7BE8674E87-55E2-4279-8327-5C27406EE723%7D,-82.4917686,27.9830939
St. Joseph’s Hospital and Medical Center,st.-joseph’s-hospital-and-medical-center,https://www.dignityhealth.org/arizona/locations/stjosephs/patients-and-visitors/for-patients/billing-payment-information,-112.0794777,33.48295239999999
St. Luke’s Hospital (Pennsylvania),st.-luke’s-hospital-(pennsylvania),https://www.slhn.org/billpay/patient-billing/standard-charges-for-services-provided,-75.39318720000001,40.6094654
St. Luke’s Hospital (San Francisco),st.-luke’s-hospital-(san-francisco),https://www.sutterhealth.org/for-patients/health-care-costs-and-charges,-122.4207868,37.7478098
Stanford Hospitals and Clinics,stanford-hospitals-and-clinics,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/,-122.1749851,37.4329388
Sunrise Hospital and Medical Center,sunrise-hospital-and-medical-center,https://sunrisehospital.com/about/legal/detail-price-list.dot,-115.1355493,36.1327364
Swedish Medical Center,swedish-medical-center,https://swedishhospital.com/about/legal/detail-price-list.dot,-104.9807703,39.6541184
Tampa General Hospital,tampa-general-hospital,https://www.tgh.org/patients-visitors/financial-information/hospital-services-and-charges,-82.4591748,27.9379583
Temple University Hospital,temple-university-hospital,https://tuh.templehealth.org/content/pricing-info.htm,-75.1507565,40.0052981
The Childrens Hospital of Philadelphia,the-childrens-hospital-of-philadelphia,https://www.chop.edu/centers-programs/billing-and-insurance/understanding-hospital-charges,-75.1938646,39.9488993
The Methodist Hospital (Houston),the-methodist-hospital-(houston),https://www.houstonmethodist.org/for-patients/patient-resources/billing-insurance/charge-description-master/,-95.39926419999999,29.7103912
Thomas Jefferson University Hospital,thomas-jefferson-university-hospital,https://hospitals.jefferson.edu/patients-and-visitors/charge-description-master.html,-75.1560106,39.9478658
UC Davis Medical Center,uc-davis-medical-center,https://health.ucdavis.edu/newsroom/public-reporting/chargemaster.html,-121.4518679,38.5524372
UC Irvine Medical Center,uc-irvine-medical-center,http://www.ucihealth.org/patients-visitors/pricing-transparency,-117.8894223,33.7876562
UC San Diego Medical Center,uc-san-diego-medical-center,https://health.ucsd.edu/patients/billing/standard-charges/Pages/default.aspx,-117.2255852,32.8778558
UC San Francisco Medical Center,uc-san-francisco-medical-center,https://www.ucsfhealth.org/about/pricing-transparency/,-122.4578094,37.7630512
University Hospital (Lexington),university-hospital-(lexington),https://ukhealthcare.uky.edu/uk-healthcare-rates,-84.5081158,38.0313538
University Hospitals Case Medical Center,university-hospitals-case-medical-center,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,-81.6068397,41.5060157
University of Wisconsin Madison Hospitals and Clinics,university-of-wisconsin-madison-hospitals-and-clinics,https://www.uwhealth.org/billing-and-insurance/priceline-pricing-costs/30091,-89.4311231,43.0766353
University of Alabama Hospital,university-of-alabama-hospital,https://www.uabmedicine.org/billing-insurance-and-medical-records,-86.8064447,33.5021227
University of Chicago Hospitals,university-of-chicago-hospitals,http://search.hospitalpriceindex.com/hospital/the-university-of-chicago-medical-center/5342,-87.5987133,41.7886079
University of Colorado Hospital,university-of-colorado-hospital,https://www.uchealth.org/billing-and-pricing-information/,-104.841915,39.7424834
University of Florida Health Shands,university-of-florida-health-shands,https://ufhealth.org/pricing-transparency,-82.3414966,29.6392926
University of Iowa Hospitals and Clinics,university-of-iowa-hospitals-and-clinics,https://uihc.org/hospital-services-and-charges,-91.5478816,41.6588931
University of Kansas Hospitals,university-of-kansas-hospitals,https://www.kansashealthsystem.com/patient-visitor/insurance-billing-financial-support/services-fees/charge-descriptions,-94.6094334,39.0559992
University of Massachusetts Memorial Medical Center,university-of-massachusetts-memorial-medical-center,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/patients-visitors/patient-resources/healthalliance-clinton-pricing-list,-71.7615259,42.2777057
University of Michigan Hospitals and Health Centers,university-of-michigan-hospitals-and-health-centers,https://www.uofmhealth.org/michigan-medicine-standard-charges,-83.72787950000001,42.283286
University of Minnesota Medical Center,university-of-minnesota-medical-center,https://www.fairview.org/billing/fairview-patient-billing,-93.2316306,44.9720205
University of North Carolina Hospital,university-of-north-carolina-hospital,https://www.unchealthcare.org/about-us/billing-and-financial-assistance/chargemaster/,-79.0505419,35.9041108
University of Oklahoma Medical Center,university-of-oklahoma-medical-center,https://www.oumedicine.com/oumedicine/primary-care/patients-visitors/hospital-financial-assistance/hospital-charges,-97.49418589999999,35.4808318
University of Pittsburgh Medical Center Presbyterian Shadyside,university-of-pittsburgh-medical-center-presbyterian-shadyside,https://www.upmc.com/locations/hospitals/mckeesport/patients-visitors/patient-information/cdm,-79.9396701,40.4544163
University of Texas MD Anderson Cancer Center,university-of-texas-md-anderson-cancer-center,https://www.mdanderson.org/patients-family/becoming-our-patient/planning-for-care/insurance-billing-financial-support/health-care-disclosures.html,-95.39706319999999,29.7065843
University of Virginia Medical Center,university-of-virginia-medical-center,https://uvahealth.com/services/billing-insurance/common-prices,-78.49918149999999,38.0319129
Vanderbilt University Medical Center,vanderbilt-university-medical-center,https://finance.vumc.org/chargemaster/,-86.8021306,36.1417373
VCU Health System MCV Hospital,vcu-health-system-mcv-hospital,https://www.vcuhealth.org/locations/vcu-medical-center/billing-and-insurance/price-transparency,-77.4289462,37.5404747
West Jersey Health System,west-jersey-health-system,https://www.virtua.org/patient-tools/hospital-charges-information,-74.7942192,40.0062931
Westchester Medical Center,westchester-medical-center,https://www.westchestermedicalcenter.com/billing-insurance-and-financial-assistance,-73.8062443,41.0861707
William Beaumont Hospital – Royal Oak,william-beaumont-hospital-–-royal-oak,https://www.beaumont.org/patients-families/billing/pricing,-83.1924064,42.5141522
Winthrop University Hospital,winthrop-university-hospital,https://www.nyuwinthrop.org/standard-charges,-73.6420018,40.7386932
Yale New Haven Hospital,yale-new-haven-hospital,https://www.ynhh.org/patients-visitors/billing-insurance/pricing.aspx,-72.9358293,41.3037381
